"Player_id","Name","Photo","Number"
1630,Mateo Musacchio,https://media.api-sports.io/football/players/1630.png,22
31054,Rade Krunić,https://media.api-sports.io/football/players/31054.png,33
279765,Marco Romano Frigerio,https://media.api-sports.io/football/players/279765.png,97
1641,Samu Castillejo,https://media.api-sports.io/football/players/1641.png,7
263481,Lorenzo Colombo,https://media.api-sports.io/football/players/263481.png,29
39073,Jens Petter Hauge,https://media.api-sports.io/football/players/39073.png,15
134926,Daniel Maldini,https://media.api-sports.io/football/players/134926.png,27
851,Wojciech Szczęsny,https://media.api-sports.io/football/players/851.png,1
618,Danilo,https://media.api-sports.io/football/players/618.png,13
853,Leonardo Bonucci,https://media.api-sports.io/football/players/853.png,19
532,Matthijs De Ligt,https://media.api-sports.io/football/players/532.png,4
31517,Gianluca Frabotta,https://media.api-sports.io/football/players/31517.png,38
30410,Federico Chiesa,https://media.api-sports.io/football/players/30410.png,22
272,Adrien Rabiot,https://media.api-sports.io/football/players/272.png,25
863,Rodrigo Bentancur,https://media.api-sports.io/football/players/863.png,30
1459,Aaron Ramsey,https://media.api-sports.io/football/players/1459.png,8
875,Paulo Dybala,https://media.api-sports.io/football/players/875.png,10
874,Cristiano Ronaldo,https://media.api-sports.io/football/players/874.png,7
254,Gianluigi Buffon,https://media.api-sports.io/football/players/254.png,77
850,Carlo Pinsoglio,https://media.api-sports.io/football/players/850.png,31
30521,Merih Demiral,https://media.api-sports.io/football/players/30521.png,28
856,Giorgio Chiellini,https://media.api-sports.io/football/players/856.png,3
56287,Alessandro Di Pardo,https://media.api-sports.io/football/players/56287.png,36
56292,Manolo Portanova,https://media.api-sports.io/football/players/56292.png,39
415,Weston McKennie,https://media.api-sports.io/football/players/415.png,14
150,Arthur,https://media.api-sports.io/football/players/150.png,5
873,Federico Bernardeschi,https://media.api-sports.io/football/players/873.png,33
161974,Cosimo Marco Da Graca,https://media.api-sports.io/football/players/161974.png,34
30435,Dejan Kulusevski,https://media.api-sports.io/football/players/30435.png,44
876,Nicolò Fagioli,https://media.api-sports.io/football/players/876.png,41
47300,Theo Hernández,https://media.api-sports.io/football/players/47300.png,19
51070,Zlatan Ibrahimović,https://media.api-sports.io/football/players/51070.png,11
263480,Giacomo Olzer,https://media.api-sports.io/football/players/263480.png,92
134923,Antonio Mionić,https://media.api-sports.io/football/players/134923.png,88
215976,Nikolaos Michelis,https://media.api-sports.io/football/players/215976.png,81
297324,Enrico Di Gesù,https://media.api-sports.io/football/players/297324.png,86
1417,Alexis Saelemaekers,https://media.api-sports.io/football/players/1417.png,56
30507,Soualiho Meïté,https://media.api-sports.io/football/players/30507.png,18
135510,Emil Roback,https://media.api-sports.io/football/players/135510.png,93
19209,Fikayo Tomori,https://media.api-sports.io/football/players/19209.png,23
878,Mario Mandžukić,https://media.api-sports.io/football/players/878.png,9
30418,Pierluigi Gollini,https://media.api-sports.io/football/players/30418.png,95
30429,Rafael Tolói,https://media.api-sports.io/football/players/30429.png,2
30776,Cristian Romero,https://media.api-sports.io/football/players/30776.png,17
30421,Berat Djimsiti,https://media.api-sports.io/football/players/30421.png,19
30423,Hans Hateboer,https://media.api-sports.io/football/players/30423.png,33
30432,Marten de Roon,https://media.api-sports.io/football/players/30432.png,15
2807,Remo Freuler,https://media.api-sports.io/football/players/2807.png,11
30422,Robin Gosens,https://media.api-sports.io/football/players/30422.png,8
30436,Matteo Pessina,https://media.api-sports.io/football/players/30436.png,32
30434,Josip Iličić,https://media.api-sports.io/football/players/30434.png,72
2495,Duván Zapata,https://media.api-sports.io/football/players/2495.png,91
31069,Marco Sportiello,https://media.api-sports.io/football/players/31069.png,57
30419,Francesco Rossi,https://media.api-sports.io/football/players/30419.png,31
1930,Joakim Maehle,https://media.api-sports.io/football/players/1930.png,3
30428,José Luis Palomino,https://media.api-sports.io/football/players/30428.png,6
162012,Matteo Ruggeri,https://media.api-sports.io/football/players/162012.png,40
14316,Boško Šutalo,https://media.api-sports.io/football/players/14316.png,4
1628,Mattia Caldara,https://media.api-sports.io/football/players/1628.png,13
30747,Fabio Depaoli,https://media.api-sports.io/football/players/30747.png,27
484,Aleksei Miranchuk,https://media.api-sports.io/football/players/484.png,59
1938,Ruslan Malinovskyi,https://media.api-sports.io/football/players/1938.png,18
36987,Sam Lammers,https://media.api-sports.io/football/players/36987.png,7
2493,Luis Muriel,https://media.api-sports.io/football/players/2493.png,9
277175,Andreas Jungdal,https://media.api-sports.io/football/players/277175.png,96
188,Samir Handanovič,https://media.api-sports.io/football/players/188.png,1
198,Milan Škriniar,https://media.api-sports.io/football/players/198.png,37
194,Stefan de Vrij,https://media.api-sports.io/football/players/194.png,6
771,Aleksandar Kolarov,https://media.api-sports.io/football/players/771.png,11
887,Matteo Darmian,https://media.api-sports.io/football/players/887.png,36
30558,Nicolò Barella,https://media.api-sports.io/football/players/30558.png,23
201,Marcelo Brozović,https://media.api-sports.io/football/players/201.png,77
151,Arturo Vidal,https://media.api-sports.io/football/players/151.png,22
207,Ivan Perišić,https://media.api-sports.io/football/players/207.png,14
