"Team_id","Name","Logo"
550,Shakhtar Donetsk,https://media.api-sports.io/football/teams/550.png
79,Lille,https://media.api-sports.io/football/teams/79.png
375,Malmo FF,https://media.api-sports.io/football/teams/375.png
503,Torino,https://media.api-sports.io/football/teams/503.png
91,Monaco,https://media.api-sports.io/football/teams/91.png
571,Red Bull Salzburg,https://media.api-sports.io/football/teams/571.png
511,Empoli,https://media.api-sports.io/football/teams/511.png
194,Ajax,https://media.api-sports.io/football/teams/194.png
99,Clermont Foot,https://media.api-sports.io/football/teams/99.png
596,Zenit Saint Petersburg,https://media.api-sports.io/football/teams/596.png
38,Watford,https://media.api-sports.io/football/teams/38.png
558,Spartak Moscow,https://media.api-sports.io/football/teams/558.png
628,Sparta Praha,https://media.api-sports.io/football/teams/628.png
565,BSC Young Boys,https://media.api-sports.io/football/teams/565.png
569,Club Brugge KV,https://media.api-sports.io/football/teams/569.png
197,PSV Eindhoven,https://media.api-sports.io/football/teams/197.png
188,Arminia Bielefeld,https://media.api-sports.io/football/teams/188.png
84,Nice,https://media.api-sports.io/football/teams/84.png
532,Valencia,https://media.api-sports.io/football/teams/532.png
798,Mallorca,https://media.api-sports.io/football/teams/798.png
572,Dynamo Kyiv,https://media.api-sports.io/football/teams/572.png
568,Sheriff Tiraspol,https://media.api-sports.io/football/teams/568.png
63,Leeds,https://media.api-sports.io/football/teams/63.png
339,Legia Warszawa,https://media.api-sports.io/football/teams/339.png
517,Venezia,https://media.api-sports.io/football/teams/517.png
742,Genk,https://media.api-sports.io/football/teams/742.png
228,Sporting CP,https://media.api-sports.io/football/teams/228.png
407,Brondby,https://media.api-sports.io/football/teams/407.png
82,Montpellier,https://media.api-sports.io/football/teams/82.png
167,"1899 Hoffenheim",https://media.api-sports.io/football/teams/167.png
597,Lokomotiv Moscow,https://media.api-sports.io/football/teams/597.png
645,Galatasaray,https://media.api-sports.io/football/teams/645.png
781,Rapid Vienna,https://media.api-sports.io/football/teams/781.png
172,VfB Stuttgart,https://media.api-sports.io/football/teams/172.png
176,VfL BOCHUM,https://media.api-sports.io/football/teams/176.png
71,Norwich,https://media.api-sports.io/football/teams/71.png
83,Nantes,https://media.api-sports.io/football/teams/83.png
95,Strasbourg,https://media.api-sports.io/football/teams/95.png
637,Sturm Graz,https://media.api-sports.io/football/teams/637.png
192,FC Koln,https://media.api-sports.io/football/teams/192.png
110,Estac Troyes,https://media.api-sports.io/football/teams/110.png
257,Rangers,https://media.api-sports.io/football/teams/257.png
112,Metz,https://media.api-sports.io/football/teams/112.png
620,Dinamo Zagreb,https://media.api-sports.io/football/teams/620.png
1359,Luton,https://media.api-sports.io/football/teams/1359.png
1350,Peterborough,https://media.api-sports.io/football/teams/1350.png
70,Middlesbrough,https://media.api-sports.io/football/teams/70.png
65,Nottingham Forest,https://media.api-sports.io/football/teams/65.png
37,Huddersfield,https://media.api-sports.io/football/teams/37.png
175,Hamburger SV,https://media.api-sports.io/football/teams/175.png
785,Karlsruher SC,https://media.api-sports.io/football/teams/785.png
166,Hannover 96,https://media.api-sports.io/football/teams/166.png
9836,Moralo,https://media.api-sports.io/football/teams/9836.png
9830,Extremadura UD II,https://media.api-sports.io/football/teams/9830.png
3656,Antigua GFC,https://media.api-sports.io/football/teams/3656.png
3667,Xelajú,https://media.api-sports.io/football/teams/3667.png
2310,Tapachula,https://media.api-sports.io/football/teams/2310.png
15937,Reboceros La Piedad,https://media.api-sports.io/football/teams/15937.png
1059,Lobos Upnfm,https://media.api-sports.io/football/teams/1059.png
1056,CD Honduras,https://media.api-sports.io/football/teams/1056.png
4641,Diriangén,https://media.api-sports.io/football/teams/4641.png
4643,Juventus Managua,https://media.api-sports.io/football/teams/4643.png
5422,Galaxy,https://media.api-sports.io/football/teams/5422.png
18121,Mogoditshane Fighters,https://media.api-sports.io/football/teams/18121.png
4410,Ashanti GB,https://media.api-sports.io/football/teams/4410.png
4421,Satellite,https://media.api-sports.io/football/teams/4421.png
8242,River Plate,https://media.api-sports.io/football/teams/8242.png
8238,Estrella,https://media.api-sports.io/football/teams/8238.png
2045,Puntarenas FC,https://media.api-sports.io/football/teams/2045.png
826,Municipal Liberia,https://media.api-sports.io/football/teams/826.png
2279,Tigres UANL,https://media.api-sports.io/football/teams/2279.png
2282,Monterrey,https://media.api-sports.io/football/teams/2282.png
3664,Malacateco,https://media.api-sports.io/football/teams/3664.png
3646,Nueva Concepción,https://media.api-sports.io/football/teams/3646.png
4299,Alianza,https://media.api-sports.io/football/teams/4299.png
4305,Jocoro,https://media.api-sports.io/football/teams/4305.png
4310,Águila,https://media.api-sports.io/football/teams/4310.png
4302,FAS,https://media.api-sports.io/football/teams/4302.png
4303,Firpo,https://media.api-sports.io/football/teams/4303.png
4312,Atlético Marte,https://media.api-sports.io/football/teams/4312.png
4301,Chalatenango,https://media.api-sports.io/football/teams/4301.png
4304,Isidro Metapán,https://media.api-sports.io/football/teams/4304.png
13908,Amatitlán,https://media.api-sports.io/football/teams/13908.png
3666,Siquinalá,https://media.api-sports.io/football/teams/3666.png
1058,Real Espana,https://media.api-sports.io/football/teams/1058.png
1057,Platense FC,https://media.api-sports.io/football/teams/1057.png
4645,Real Estelí,https://media.api-sports.io/football/teams/4645.png
4646,Real Madriz,https://media.api-sports.io/football/teams/4646.png
5475,Verdes,https://media.api-sports.io/football/teams/5475.png
18055,Garden City,https://media.api-sports.io/football/teams/18055.png
5478,San Pedro Pirates,https://media.api-sports.io/football/teams/5478.png
5476,Wagiya,https://media.api-sports.io/football/teams/5476.png
1054,Vida,https://media.api-sports.io/football/teams/1054.png
1055,CD Motagua,https://media.api-sports.io/football/teams/1055.png
5477,Altitude,https://media.api-sports.io/football/teams/5477.png
18054,Caesar Ridge,https://media.api-sports.io/football/teams/18054.png
2292,Pachuca,https://media.api-sports.io/football/teams/2292.png
2295,Cruz Azul,https://media.api-sports.io/football/teams/2295.png
16953,Albirex Niigata W,https://media.api-sports.io/football/teams/16953.png
16950,Omiya Ardija Ventus W,https://media.api-sports.io/football/teams/16950.png
1971,Melbourne City W,https://media.api-sports.io/football/teams/1971.png
1976,Melbourne Victory W,https://media.api-sports.io/football/teams/1976.png
4456,Southern District,https://media.api-sports.io/football/teams/4456.png
4453,Kitchee,https://media.api-sports.io/football/teams/4453.png
15985,AmaZulu U23,https://media.api-sports.io/football/teams/15985.png
17719,Sekhukhune United U23,https://media.api-sports.io/football/teams/17719.png
15989,Cape Town City U23,https://media.api-sports.io/football/teams/15989.png
15993,Mamelodi Sundowns U23,https://media.api-sports.io/football/teams/15993.png
15973,Universitatea Galaţi W,https://media.api-sports.io/football/teams/15973.png
15963,Banat Girls W,https://media.api-sports.io/football/teams/15963.png
939,Western Sydney Wanderers,https://media.api-sports.io/football/teams/939.png
948,Adelaide United,https://media.api-sports.io/football/teams/948.png
2451,PSIS Semarang,https://media.api-sports.io/football/teams/2451.png
4244,Persita,https://media.api-sports.io/football/teams/4244.png
3465,Indian Arrows,https://media.api-sports.io/football/teams/3465.png
3460,Aizawl,https://media.api-sports.io/football/teams/3460.png
1081,TOM Tomsk,https://media.api-sports.io/football/teams/1081.png
2015,Krasnodar 2,https://media.api-sports.io/football/teams/2015.png
18057,AE Mykonos,https://media.api-sports.io/football/teams/18057.png
15234,Charavgiakos,https://media.api-sports.io/football/teams/15234.png
17439,Borac Lazarevac,https://media.api-sports.io/football/teams/17439.png
14254,Leštane,https://media.api-sports.io/football/teams/14254.png
7318,Meteor Praha,https://media.api-sports.io/football/teams/7318.png
7282,Chomutov,https://media.api-sports.io/football/teams/7282.png
15966,Fairplay Bucureşti W,https://media.api-sports.io/football/teams/15966.png
17659,SSU Poli Timişoara W,https://media.api-sports.io/football/teams/17659.png
15971,Arad W,https://media.api-sports.io/football/teams/15971.png
17657,CSS Târgovişte W,https://media.api-sports.io/football/teams/17657.png
8623,Slovácko II,https://media.api-sports.io/football/teams/8623.png
7288,Frýdek-Místek,https://media.api-sports.io/football/teams/7288.png
8621,Baník Ostrava II,https://media.api-sports.io/football/teams/8621.png
7291,Hanácká,https://media.api-sports.io/football/teams/7291.png
3734,Znojmo,https://media.api-sports.io/football/teams/3734.png
7369,Uničov,https://media.api-sports.io/football/teams/7369.png
8618,Slavia Praha II,https://media.api-sports.io/football/teams/8618.png
7315,Loko Vltavín,https://media.api-sports.io/football/teams/7315.png
7268,Admira Praha,https://media.api-sports.io/football/teams/7268.png
